id,tree,tree_resource,layer,parent_id,name,description,n_effects,effect_types,unlocks,faction_boost,faction_boost_amount,layer_threshold
P-AAAB,policy,culture,4,P-AAA,海上丝路,港口每相邻commercial_hub: +2🪙,1,add_adjacency,,wilderness,30,170
P-AABA,policy,culture,4,P-AAB,市场经济,集市+2🪙,1,buff_improvement,,wilderness,30,170
P-AABB,policy,culture,4,P-AAB,垄断贸易,商业中心被3+商站包围: 该商业中心+3🪙,1,pattern_bonus,,wilderness,30,170
P-ABAA,policy,culture,4,P-ABA,庄园经济,葡萄园每相邻farm: +1🌾,1,add_adjacency,,wilderness,30,170
P-ABAB,policy,culture,4,P-ABA,种植园主,种植园+1🪙+1🎭,1,buff_improvement,,wilderness,30,170
P-ABBA,policy,culture,4,P-ABB,奢华殿堂,剧院每相邻luxury_resource: +1🎭,1,add_adjacency,,wilderness,30,170
P-ABBB,policy,culture,4,P-ABB,国际都会,商业中心+1🪙+1🎭+1🔬,1,buff_district,,wilderness,30,170
P-BAAA,policy,culture,4,P-BAA,全民狂欢,娱乐中心每相邻improvement: +1🎭,1,add_adjacency,,pastoral,30,170
P-BAAB,policy,culture,4,P-BAA,大学城,解锁「大学城」区域,1,unlock_district,university,pastoral,30,170
P-BABA,policy,culture,4,P-BAB,中央集权,政府广场每相邻district: +1⚙️,1,add_adjacency,,pastoral,30,170
P-BABB,policy,culture,4,P-BAB,民主议会,政府广场+2🎭+2🔬,1,buff_district,,pastoral,30,170
P-BBAA,policy,culture,4,P-BBA,文艺复兴,剧院+2🎭,1,buff_district,,pastoral,30,170
P-BBAB,policy,culture,4,P-BBA,博物馆,所有natural地貌+1🎭,1,buff_feature,,pastoral,30,170
P-BBBA,policy,culture,4,P-BBB,科教兴国,学院+1🔬+1🎭,1,buff_district,,pastoral,30,170
P-BBBB,policy,culture,4,P-BBB,文化遗产,完整一环的每个地块+1🎭,1,pattern_bonus,,pastoral,30,170
F-A,faith,faith,1,,自然崇拜,所有natural标签地貌+1🙏,1,buff_feature,,highland,15,6
F-B,faith,faith,1,,修道制度,解锁「修道院」,1,unlock_improvement,monastery,woodland,15,6
F-AA,faith,faith,2,F-A,温泉开发,解锁「温泉」,1,unlock_improvement,hot_spring,highland,20,25
F-AB,faith,faith,2,F-A,万物有灵,山脉获得natural标签,1,terrain_alias,,highland,20,25
F-BA,faith,faith,2,F-B,修道院区,解锁「修道院区」,1,unlock_district,monastery_district,woodland,20,25
F-BB,faith,faith,2,F-B,圣林守护,解锁「圣林」,1,unlock_improvement,sacred_grove,woodland,20,25
F-AAA,faith,faith,3,F-AA,地热神迹,地热+1🙏+1🔬,1,buff_feature,,highland,25,70
F-AAB,faith,faith,3,F-AA,沙漠绿洲,沙漠获得fertile标签,1,terrain_alias,,highland,25,70
F-ABA,faith,faith,3,F-AB,山岳信仰,圣地每相邻mountain: 额外+1🙏,1,add_adjacency,,highland,25,70
F-ABB,faith,faith,3,F-AB,冰原圣域,冻土获得hill标签,1,terrain_alias,,highland,25,70
F-BAA,faith,faith,3,F-BA,朝圣之路,修道院区每相邻holy_site: +2🙏,1,add_adjacency,,woodland,25,70
F-BAB,faith,faith,3,F-BA,宗教热忱,圣地+2🙏,1,buff_district,,woodland,25,70
F-BBA,faith,faith,3,F-BB,神圣植林,圣林+1🙏+1🎭,1,buff_improvement,,woodland,25,70
F-BBB,faith,faith,3,F-BB,森林信仰,森林+1🙏+1🌾,1,buff_feature,,woodland,25,70
F-AAAA,faith,faith,4,F-AAA,火山祭祀,火山岩+1🙏+1⚙️,1,buff_terrain,,highland,30,170
F-AAAB,faith,faith,4,F-AAA,温泉文化,温泉+1🙏+1🎭,1,buff_improvement,,highland,30,170
F-AABA,faith,faith,4,F-AAB,圣山,山脉可工作，产出2🙏,1,make_workable,,highland,30,170
F-AABB,faith,faith,4,F-AAB,荒漠圣者,沙漠+1🙏+1🌾,1,buff_terrain,,highland,30,170
F-ABAA,faith,faith,4,F-ABA,高山祭坛,圣地每相邻mountain: 额外+1🙏,1,add_adjacency,,highland,30,170
F-ABAB,faith,faith,4,F-ABA,极地探索,冰原可工作，产出1🙏+1🌾,1,make_workable,,highland,30,170
F-ABBA,faith,faith,4,F-ABB,神秘力量,所有natural标签地貌额外+1🙏,1,buff_feature,,highland,30,170
F-ABBB,faith,faith,4,F-ABB,高原牧歌,高原+1🙏+1🌾,1,buff_terrain,,highland,30,170
F-BAAA,faith,faith,4,F-BAA,宗教统治,修道院区+2🙏+1⚙️,1,buff_district,,woodland,30,170
F-BAAB,faith,faith,4,F-BAA,苦行修炼,修道院每相邻mountain: +1🙏,1,add_adjacency,,woodland,30,170
F-BABA,faith,faith,4,F-BAB,圣战,圣地+1🙏+1⚙️,1,buff_district,,woodland,30,170
F-BABB,faith,faith,4,F-BAB,先知降临,圣地被3+natural地貌包围: 该圣地+3🙏,1,pattern_bonus,,woodland,30,170
F-BBAA,faith,faith,4,F-BBA,世界树,圣林+2🙏+1🔬,1,buff_improvement,,woodland,30,170
F-BBAB,faith,faith,4,F-BBA,老林崇拜,老林+1🙏+1🔬,1,buff_feature,,woodland,30,170
F-BBBA,faith,faith,4,F-BBB,森林圣域,森林+1🙏+1⚙️,1,buff_feature,,woodland,30,170
F-BBBB,faith,faith,4,F-BBB,自然和谐,所有vegetation标签+1🙏+1🌾,1,buff_feature,,woodland,30,170
